cause,cause_remapped,fcm_cause_remapped,effect,fcm_effect_remapped,effect_type,confidence,top_keyword_score,keywords,similarity_score,weight,full_answer,direction,net_effect
topic decommissioning repowering,,technological innovation,digitalisation,digitalisation,increase,0.24296285,0.9792,"[('decommissioning', 0.6672), ('repowering', 0.5818), ('topic', 0.3942), ('topic decommissioning', 0.8874), ('decommissioning repowering', 0.7696), ('decommissioning', 0.6672), ('repowering', 0.5818), ('topic', 0.3942), ('topic decommissioning repowering', 0.9792), ('decommissioning repowering', 0.7696), ('decommissioning', 0.6672), ('repowering', 0.5818), ('topic', 0.3942)]",0.5082968473434448,1,"close by continuing to browse this website, or closing this message, you agree to our use of cookies days hours mins secs watch the latest giles & pierre video contact us | members ' area about us | careers | contact us | members ' area home about wind policy newsroom events intelligence platform membership about wind wind energy today daily wind power numbers careers & skills learn wind wind basics campaigns wind energy and the environment wind energy and the economy wind supply chain map supply chain sustainability research & innovation history of wind policy position papers joint statements eu funded projects newsroom press releases news photos videos home events wind europe annual event 2025,8-10 april, copenhagen wind europe technology workshop 2025,19-20 june, istanbul wind europe eo lis 2025,20-21 november, lisbon intelligence platform statistics reports interactive data & maps infographics webinars membership members ' area login membership benefits meet our members national associations membership categories how to join faq members ' interviews search home / wind europe intelligence platform / search statistics reports interactive data & maps infographics webinars search by topic decommissioning & repowering digitalisation electrification & hydrogen finance & investments installations markets & regulation offshore & floating permitting & environmental impacts supply chain & competitiveness sustainability & recycling system integration & grids technology search results april 2025 revamping electricity bills for a competitive and secure europe reports april 2025 national policy and regulatory developments tool interactive tools march 2025 european innovation council calls 2025 webinars march 2025 annual wind turbine orders monitoring 2024 reports march 2025 offshore wind in europe-key trends and statistics 2024 webinars march 2025 wind turbine orders monitoring q4 2024 reports march 2025 offshore wind in europe-key trends and statistics 2024 reports march 2025 wind energy in europe : 2024 statistics and the outlook for 2025-2030 webinars february 2025 wind energy in europe : 2024 statistics and the outlook for 2025-2030 reports february 2025 investments in european manufacturing facilities reports february 2025 eu innovation fund webinars january 2025 supply chain map interactive tools october 2024 wind turbine orders monitoring q3 2024 reports october 2024 five megatrends in wind energy technology infographics october 2024 wind energy and raw material supply chains webinars october 2024 corporate power purchase agreements in europe interactive tools october 2024 the impact of the carbon border adjustment mechanism (cbam) on the european wind energy sector reports september 2024 overview of",1,0.24296285212039948
european nfm industry,availability of critical raw materials,availability of critical raw materials,digitalization,digitalization,decrease,0.16340251,0.6581,"[('metals', 0.4157), ('nfm', 0.3064), ('digitalization', 0.1984), ('2020', 0.1557), ('deployment', 0.0756), ('metals europe', 0.5926), ('nfms 2020', 0.3787), ('energy digitalization', 0.2671), ('deployment smart', 0.209), ('able strategic', 0.2031), ('european nfm industry', 0.6581), ('refining smelting recycling', 0.4051), ('metals gallium arsenic', 0.2965), ('energy digitalization defense', 0.2934), ('autonomy need', 0.062)]",0.6996813416481018,-1,"the same is true of the digital transition where metals such as gallium, arsenic, platinum and other precious metals, etc. must be used to spur digitalization and development of infrastructure to support the deployment of smart technology. likewise, we need antimony, aluminium, lead, etc. for our defense industry to manufacture ammunition, flak jackets, etc. without nfms made in, and for, europe we will not be able to have the strategic autonomy that we need for renewable energy, digitalization and our defense. the need to have a european nfm industry is a first order magnitude must, otherwise we will neither have physical security, nor economic security in the months and years to come. our capacity to deliver these processed metals in europe is diminishing at a time when we should be growing the number of mines, refining, smelting and recycling facilities of nfms. since 2020, twenty such european aluminium, silicon and zinc facilities have been shuttered.",-1,0.1634025126695633
precious metals,availability of critical raw materials,availability of critical raw materials,digitalization,digitalization,effect,0.97337705,0.7432,"[('metals', 0.6011), ('arsenic', 0.5262), ('gallium', 0.5131), ('platinum', 0.3455), ('precious', 0.3363), ('precious metals', 0.7432), ('gallium arsenic', 0.6288), ('metals', 0.6011), ('platinum', 0.3455), ('precious', 0.3363), ('precious metals', 0.7432), ('arsenic platinum precious', 0.7162), ('gallium arsenic', 0.6288), ('platinum', 0.3455), ('precious', 0.3363)]",0.6720408201217651,0.5,"the same is true of the digital transition where metals such as gallium, arsenic, platinum and other precious metals, etc.",0,0
precious metals used,digital infrastructure,digital infrastructure,digitalization,digitalization,effect,0.1739982,0.6077,"[('metals', 0.48), ('infrastructure', 0.4259), ('digitalization', 0.39), ('smart', 0.2655), ('deployment', 0.0712), ('precious metals', 0.592), ('smart technology', 0.5514), ('spur digitalization', 0.2985), ('support deployment', 0.1299), ('used', 0.041), ('precious metals used', 0.6077), ('smart technology', 0.5514), ('arsenic', 0.3658), ('infrastructure support deployment', 0.3288), ('spur digitalization', 0.2985)]",0.6893630623817444,0.5,"the same is true of the digital transition where metals such as gallium, arsenic, platinum and other precious metals, etc. must be used to spur digitalization and development of infrastructure to support the deployment of smart technology.",0,0
uptake digital technologies,digital technology uptake,digital technology uptake,digitalization,digitalization,effect,0.7916148,0.8304,"[('digital', 0.6262), ('technologies', 0.5791), ('uptake', 0.4567), ('enabling', 0.4123), ('digital technologies', 0.745), ('uptake digital', 0.6999), ('digital', 0.6262), ('enabling uptake', 0.5594), ('enabling', 0.4123), ('uptake digital technologies', 0.8304), ('digital', 0.6262), ('technologies', 0.5791), ('enabling uptake', 0.5594), ('enabling', 0.4123)]",0.7232946157455444,0.5,2 enabling the uptake of digital technologies 4.,0,0
downturn sanitary crisis,economic downturn,economic downturn,digitalization,digitalization,decrease,0.10135756,0.9226,"[('sanitary', 0.6182), ('crisis', 0.4319), ('economic', 0.4301), ('downturn', 0.4255), ('sanitary crisis', 0.8066), ('downturn sanitary', 0.7701), ('economic downturn', 0.6414), ('crisis', 0.4319), ('economic', 0.4301), ('downturn sanitary crisis', 0.9226), ('economic downturn', 0.6414), ('sanitary', 0.6182), ('crisis', 0.4319), ('economic', 0.4301)]",0.6920454502105713,-1,"however, the economic downturn and sanitary crisis have had a serious impact on the glass industry illustrated by a significant decrease in production.",-1,0.10135755687952042
high energy costs,high energy costs,high energy costs,digitalization,digitalization,decrease,0.16849668,0.7812,"[('regulatory', 0.5595), ('costs', 0.5392), ('energy', 0.4423), ('burden', 0.3718), ('high', 0.181), ('regulatory burden', 0.749), ('energy costs', 0.7271), ('costs', 0.5392), ('high energy', 0.4726), ('burden high', 0.4505), ('high energy costs', 0.7812), ('regulatory burden high', 0.7602), ('regulatory', 0.5595), ('burden', 0.3718), ('high', 0.181)]",0.692315936,-1,"the decline can be attributed to a range of causes, including challenges related to regulatory burden and high energy costs.",-1,0.16849668323993683
raw material costs,raw material costs,raw material costs,digitalization,digitalization,decrease,0.671846,0.7291,"[('costs', 0.5154), ('energy', 0.4314), ('labor', 0.4161), ('raw', 0.2621), ('high', 0.1514), ('material costs', 0.6828), ('energy labor', 0.6114), ('raw material', 0.4643), ('labor raw', 0.464), ('high energy', 0.4536), ('raw material costs', 0.7291), ('high energy labor', 0.6602), ('labor raw material', 0.6104), ('material', 0.3205), ('high', 0.1514)]",0.719273567,-1,"high energy, labor and raw material costs, paired with strong price competition from tyres produced outside the eu, have negatively impacted the competitiveness of our industry which now needs a boost just like the rest of the automotive ecosystem.",-1,0.6718459725379944
closure fifth year,reduced economic activity,reduced economic activity,digitalization,digitalization,decrease,0.57755727,0.6545,"[('closure', 0.3782), ('fifth', 0.312), ('competitiveness', 0.2607), ('slowdown', 0.2133), ('adversely', 0.1454), ('period closure', 0.4918), ('fifth year', 0.4469), ('slowdown business', 0.4118), ('conditions', 0.2787), ('explained lead', 0.1227), ('closure fifth year', 0.6545), ('long conditions period', 0.4656), ('adversely affect economic', 0.3465), ('modified shortened explained', 0.2411), ('lead slowdown', 0.2288)]",0.762084424,-1,"also, the period of closure until the fifth year is quite long. the conditions under which this period could be modified or shortened should be explained. this could lead to a slowdown in business activity, reduce competitiveness and adversely affect economic conditions.",-1,0.5775572657585144
certain cost,regulatory pressure,regulatory pressure,digitalization,digitalization,increase,0.73761463,1,"[('cost', 0.825), ('certain', 0.3505), ('certain cost', 1.0), ('cost', 0.825), ('certain', 0.3505), ('certain cost', 1.0), ('cost', 0.825), ('certain', 0.3505)]",0.7167213559150696,1,""" there is always a certain cost associated with digitalization, renovation and transforming operational modes ; therefore, with the added pressure of cbam and other regulatory sanctions, europe might be walking toward an uncertain future.",1,0.737614632
technical issues,technological issues,technological issues,digitalization,digitalization,decrease,0.25904027,0.8449,"[('issues', 0.6482), ('technical', 0.619), ('technical issues', 0.8449), ('issues', 0.6482), ('technical', 0.619), ('technical issues', 0.8449), ('issues', 0.6482), ('technical', 0.619)]",0.7094864845275879,-1,"in addition, the process was complicated by "" technical issues "" that prevented companies from accessing the system, as well as additional errors in the system.",-1,0.2590402662754059
carbon leakage,carbon leakage,carbon leakage,emissions trading scheme,emissions trading scheme,effect,0.8353964,1,"[('carbon', 0.6308), ('leakage', 0.624), ('carbon leakage', 1.0), ('carbon', 0.6308), ('leakage', 0.624), ('carbon leakage', 1.0), ('carbon', 0.6308), ('leakage', 0.624)]",0.7471590638160706,0.5,carbon leakage has hung over the eu ' s emissions trading scheme (ets) since its inception in 2005.,0,0
carbon leakage,carbon leakage,carbon leakage,emissions trading scheme,emissions trading scheme,increase,0.9942861,1,"[('carbon', 0.6308), ('leakage', 0.624), ('carbon leakage', 1.0), ('carbon', 0.6308), ('leakage', 0.624), ('carbon leakage', 1.0), ('carbon', 0.6308), ('leakage', 0.624)]",0.765684962,1,carbon leakage has hung over the eu ' s emissions trading scheme (ets) since its inception in 2005.,1,0.9942861199378967
industries typically emissions,carbon-intensive industry,carbon-intensive industry,emissions trading scheme,emissions trading scheme,effect,0.53065217,0.5764,"[('tax', 0.5417), ('co2', 0.3972), ('industries', 0.3275), ('targets', 0.1585), ('typically', 0.062), ('co2 emissions', 0.5683), ('tax applied', 0.4832), ('trade internationally', 0.3987), ('targets', 0.1585), ('intensive relatively', 0.0864), ('industries typically emissions', 0.5764), ('tax applied', 0.4832), ('easy trade internationally', 0.291), ('dioxide', 0.2814), ('targets', 0.1585)]",0.7876287698745728,0.5,"what is a carbon border adjustment mechanism ? why was the cbam introduced in the eu ? how will the eu ' s cbam work ? how is the mechanism expected to cut emissions ? what are the reactions from developing countries ? are other countries introducing their own mechanisms ? what is a carbon border adjustment mechanism ? a carbon border adjustment mechanism (cbam) is a tax applied to certain imported goods, based on the amount of carbon dioxide (co2) emissions released during their production. it targets industries that are typically emissions intensive and relatively easy to trade internationally, such as steel, aluminium and cement.",0,0
